generated_rd,target_fecha,target_hora,signal_key,edge_label,alert_level,best_score,best_lift,best_mi,best_chi2,rows_used,support,top3,top12,top_pairs,notified,fingerprint
2026-04-06 10:59:16,2026-04-06,11AM,2026-04-06|Anguilla|11AM,EDGE MODERADO,LOW,0.837147,2.286139,0.000532,7.665048,5377,1410,56|38|54,56|38|54|84|14|53|35|30|88|87|26|95,,0,4a4122fd62b6dbba053bcdd085afee8a
2026-04-06 11:57:13,2026-04-06,12PM,2026-04-06|Anguilla|12PM,EDGE MODERADO,LOW,0.650123,2.28307,0.00053,7.630057,5378,1390,95|74|53,95|74|53|69|96|73|84|76|04|75|23|68,,0,00d62ae6366a95e05dd0014ae1c04e8f
2026-04-06 12:57:08,2026-04-06,1PM,2026-04-06|Anguilla|1PM,EDGE REAL,MEDIUM,0.825003,2.400852,0.000649,9.531446,5379,1425,27|90|39,27|90|39|25|76|38|85|92|36|20|17|18,,0,532b9377ea04e9d0f6991f39275095e5
2026-04-06 13:52:48,2026-04-06,2PM,2026-04-06|Anguilla|2PM,NO JUGAR,NONE,0.632475,2.118277,0.000448,6.266671,5380,1409,40|45|79,40|45|79|89|81|21|98|17|48|41|14|74,,0,4ba2cce9fc63b05256a9a82ca0eae07d
2026-04-06 15:56:50,2026-04-06,4PM,2026-04-06|Anguilla|4PM,EDGE REAL,MEDIUM,0.726684,2.562044,0.000596,9.015337,5382,1404,62|44|21,62|44|21|02|09|75|93|01|49|36|19|55,,0,f13838da0cad4dfca1ec371c2b113214
2026-04-06 16:42:02,2026-04-06,5PM,2026-04-06|Anguilla|5PM,EDGE REAL,MEDIUM,0.726684,2.562044,0.000596,9.015337,5382,1404,62|44|21,62|44|21|02|09|75|93|01|49|36|19|55,,1,05a7696e2417108999a400d2ade80c87
2026-04-06 17:24:09,2026-04-06,6PM,2026-04-06|Anguilla|6PM,NO JUGAR,NONE,0.700779,2.213108,0.000444,6.324711,5384,1378,92|22|33,92|22|33|67|74|70|53|75|09|68|65|86,,1,3cc11726cc1972abb4f773e042f9b0c0
2026-04-06 18:50:12,2026-04-06,7PM,2026-04-06|Anguilla|7PM,EDGE MODERADO,LOW,0.686139,2.43716,0.000795,11.739828,5385,1372,39|92|05,39|92|05|52|99|16|33|78|51|68|86|70,,0,466fcbb3b983b2f401cb2a5d56e1507f
2026-04-06 07:49:16,2026-04-06,8AM,2026-04-06|Anguilla|8AM,EDGE REAL,MEDIUM,0.844916,2.295868,0.000593,8.544827,5374,1380,85|27|91,85|27|91|95|74|48|69|66|61|82|13|67,,0,d2dcebad8f116bce1a517705f455fbc8
2026-04-06 19:59:33,2026-04-06,8PM,2026-04-06|Anguilla|8PM,EDGE MODERADO,LOW,0.672457,2.329676,0.00061,8.859138,5386,1424,93|95|74,93|95|74|83|25|84|48|17|56|70|44|45,,0,509b1b158f4ddec5223757fd0cecb117
2026-04-06 08:39:40,2026-04-06,9AM,2026-04-06|Anguilla|9AM,EDGE MODERADO,LOW,0.866542,2.167863,0.000473,6.667162,5375,1402,25|91|16,25|91|16|74|77|12|80|83|39|63|78|71,,1,18707709de0ea6217ada513d13a42aaf
